"","Soil","Microsite","Temperature","Resp","COU","NAM","Lat_decimal","Long_decimal","ELE_1","MAT","RAI","SAC","CLC","SIC","pH","SOC","CFE","SIR","BACT_qPCR"
"29",5,1,20,3.917086735,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,73.63921423,13.12043763,13.24034814,6.83192411,0.91398175,640.7,4.013465,1693798421
"30",5,1,30,6.571557892,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,73.63921423,13.12043763,13.24034814,6.83192411,0.91398175,640.7,4.013465,1693798421
"31",6,0,10,2.586957604,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
"32",6,0,20,5.15745391,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
"33",6,0,30,16.21500961,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
"34",6,1,10,5.437922465,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,70.79624322,7.574521169,21.62923561,8.28,0.897321941,313.2,9.087702,NA
"35",6,1,20,7.167752795,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,70.79624322,7.574521169,21.62923561,8.28,0.897321941,313.2,9.087702,NA
"36",6,1,30,20.15015525,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,70.79624322,7.574521169,21.62923561,8.28,0.897321941,313.2,9.087702,NA
"37",7,0,10,1.658735906,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.18338732,5.26689444,3.549718241,9.08,0.209506379,673.1,2.437462,NA
"38",7,0,20,2.378579203,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.18338732,5.26689444,3.549718241,9.08,0.209506379,673.1,2.437462,NA
"39",7,0,30,4.345159729,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.18338732,5.26689444,3.549718241,9.08,0.209506379,673.1,2.437462,NA
"40",7,1,10,2.195818401,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.122135,2.753421797,6.124443202,8.697,0.424729414,475.5,2.092447,NA
"41",7,1,20,2.357832373,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.122135,2.753421797,6.124443202,8.697,0.424729414,475.5,2.092447,NA
"42",7,1,30,6.917387286,"Argentina","Médanos Grandes",-31.704389,-68.1523,586,17.7,130,91.122135,2.753421797,6.124443202,8.697,0.424729414,475.5,2.092447,NA
"43",8,0,10,2.308119676,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,82.87835772,1.070102642,16.05153964,8.562,0.457228413,810.5,2.618926,NA
"44",8,0,20,2.874638715,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,82.87835772,1.070102642,16.05153964,8.562,0.457228413,810.5,2.618926,NA
"45",8,0,30,6.137156503,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,82.87835772,1.070102642,16.05153964,8.562,0.457228413,810.5,2.618926,NA
"46",8,1,10,2.491851967,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,77.08106486,2.882363585,20.03657155,8.658,0.329787133,786.4,2.971015,NA
"47",8,1,20,3.297922832,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,77.08106486,2.882363585,20.03657155,8.658,0.329787133,786.4,2.971015,NA
